MongoDB shell version v3.4.10,,,,,,,
connecting to: mongodb://127.0.0.1:27017/constellation,,,,,,,
MongoDB server version: 3.4.10,,,,,,,
collabid,milestone,modified,comment,score,grader,,
59d79b90c7732358ef665423,reducetestcase,2017-10-06T11:32:38,mcslao,1,good start!,,
59d79c32c7732358ef665760,reducetestcase,2017-10-06T11:34:59,sperezde,2,Great job,,
59d79cb8c7732358ef666160,bug1079,2017-10-06T11:40:41,mcslao,2,[in-person checkoff],,
59d79c15c7732358ef6656a4,bug1079,2017-10-06T11:40:46,mcslao,2,[in-person checkoff],,
59d79c62c7732358ef6659f4,bug1079,2017-10-06T11:51:41,sperezde,1,Good job,,
59d7a5e2c7732358ef67439b,bug1079,2017-10-06T11:51:43,caronoff,1,Good debugging investigation,,
59d79bf9c7732358ef6655c7,bug1079,2017-10-06T11:55:07,wbz,1,Nice debugging steps!,,
59d79bbcc7732358ef6654b3,bug1079,2017-10-06T11:52:15,lu16j,2,Excellent!,,
59d79b8ac7732358ef665419,bug1079,2017-10-06T11:52:35,lu16j,1,Good observations,,
59d79c61c7732358ef6659ce,bug1079,2017-10-06T11:52:35,sperezde,1,Good effort,,
59d79cd9c7732358ef66648c,bug1079,2017-10-06T11:53:49,mcslao,1,good start,,
59d79f6cc7732358ef668cc0,bug1079,2017-10-06T11:53:17,caronoff,1,Well done, and good job identifying the error!,
59d79c5dc7732358ef665994,bug1079,2017-10-06T11:54:07,sperezde,1,Good effort,,
59d79bb1c7732358ef66549f,bug1079,2017-10-06T11:53:15,lu16j,2,Good!,,
59d79b85c7732358ef66540d,bug1079,2017-10-06T11:53:31,lu16j,1,Good start and observations - could be quantitative about how well the tests are written,,
59d79babc7732358ef66548a,bug1079,2017-10-06T11:54:19,lu16j,2,Good!,,
59d79b79c7732358ef665402,bug1079,2017-10-06T11:54:42,lu16j,2,Excellent!,,
59d79b9fc7732358ef66544b,bug1079,2017-10-06T11:54:53,lu16j,2,Excellent!,,
59d79b67c7732358ef6653f5,bug1079,2017-10-06T11:55:04,lu16j,2,Good!,,
59d79b90c7732358ef665428,bug1079,2017-10-06T11:55:15,lu16j,2,AMAZE!!!,,
59d79b59c7732358ef6653eb,bug1079,2017-10-06T11:55:43,lu16j,1,Good observations,,
59d79b90c7732358ef665423,bug1079,2017-10-06T11:56:16,lu16j,1,Good observation - would be better to also note down why you think that is, and what steps you took to get there,
59d79b54c7732358ef6653e4,bug1079,2017-10-06T11:57:01,lu16j,1,Good!,,
59d79b39c7732358ef6653d8,bug1079,2017-10-06T11:57:24,lu16j,1,Good observations,,
59d79ec9c7732358ef667fb1,bug1079,2017-10-06T12:18:31,lu16j,1,No description of debugging steps in Bugs.java, but good idea doing some print statement debugging,
59d79cb9c7732358ef66616f,bug1079,2017-10-06T11:54:29,mcslao,1,good start!,,
59d79d4dc7732358ef667130,bug1079,2017-10-06T11:58:39,caronoff,1,This was a good start to debugging, well done looking at the inputs,
59d79c52c7732358ef66589e,bug1079,2017-10-06T11:54:31,sperezde,2,Great job,,
59d79bf6c7732358ef6655ae,bug1079,2017-10-06T11:55:32,wbz,2,Nice job catching the bug and critiquing SudokuTest!,,
59d79cadc7732358ef66604e,bug1079,2017-10-06T11:55:18,mcslao,0,you should have come up with more observations that show progress towards finding the bug,,
59d79c8dc7732358ef665d57,bug1079,2017-10-06T11:57:17,zlily,2,good work!,,
59d79c7ac7732358ef665bb9,bug1079,2017-10-06T11:57:28,zlily,1,,,
59d79c77c7732358ef665b7b,bug1079,2017-10-06T11:57:46,zlily,1,good start,,
59d79c75c7732358ef665b4d,bug1079,2017-10-06T11:57:57,zlily,1,good start,,
59d79d11c7732358ef666ac7,bug1079,2017-10-06T11:55:20,lu16j,0,Did not describe debugging steps in Bugs.java or find the bug.,,
59d79c73c7732358ef665b25,bug1079,2017-10-06T11:58:06,zlily,1,good start,,
59d79c68c7732358ef665a4d,bug1079,2017-10-06T11:58:14,zlily,1,good start,,
59d79beec7732358ef66556c,bug1079,2017-10-06T11:56:41,wbz,2,Good work on finding the bug and critiquing the tests!,,
59d79c4fc7732358ef665876,bug1079,2017-10-06T11:55:55,sperezde,1,Good effort,,
59d79c48c7732358ef665801,bug1079,2017-10-06T11:56:26,sperezde,2,Great job,,
59d79c9bc7732358ef665e34,bug1079,2017-10-06T11:57:15,mcslao,1,great job! also notice that SudokuTest doesn't partition on the size,,
59d79becc7732358ef66555c,bug1079,2017-10-06T11:57:03,wbz,1,Nice debugging steps!,,
59d79cf5c7732358ef66688c,bug1079,2017-10-06T12:16:54,lu16j,1,Solved the bug, so clearly debugging was done - but please describe your process as well!,
59d79c32c7732358ef665760,bug1079,2017-10-06T11:57:39,sperezde,1,Good effort,,
59d79bd7c7732358ef665517,bug1079,2017-10-06T11:57:20,wbz,1,Good start on the debugging process!,,
59d79bcbc7732358ef6654f3,bug1079,2017-10-06T11:58:19,wbz,1,Nice debugging steps and finding the bug!,,
59d79c29c7732358ef665719,bug1079,2017-10-06T11:57:54,sperezde,1,Good effort,,
59d79c97c7732358ef665de2,bug1079,2017-10-06T11:58:15,mcslao,1,great job finding the bug and identifying the SudokuTest doesn't partition on size!,,
59d79c28c7732358ef665710,bug1079,2017-10-06T11:58:33,sperezde,1,Good effort,,
59d79c1fc7732358ef6656e9,bug1079,2017-10-06T11:59:03,sperezde,1,Good effort, but think about how SudokuTest could be improved,
59d79c0cc7732358ef665672,bug1079,2017-10-06T11:59:02,mcslao,1,good start with debugging and good observations!,,
